Player,Hometown,High School,Class,Position,Seasons,seasons_played,lat,lon,state,country,is_illinois,is_us,is_international,has_geocode
Tom Barich,,,,,['1995-96'],1,,,,,False,True,False,False
Travis Wilson,,,,,['1995-96'],1,,,,,False,True,False,False
Bryant Notree,"Chicago, Ill.",Simeon,,G,"['1994-95', '1995-96', '1996-97']",3,41.8755616,-87.6244212,IL,United States,True,True,False,True
Chris Gandy,"Kankakee, Ill.",Bradley-Bourbonnais,,F,"['1992-93', '1993-94', '1994-95', '1995-96', '1996-97']",5,41.1253903,-87.848682,IL,United States,True,True,False,True
Halim Abdullah,"Jersey City, N.J.",St. Anthony's,,G,['1996-97'],1,40.7215682,-74.047455,NJ,United States,False,True,False,True
Herb Caldwell,"Jacksonville, Ill.",Jacksonville,,F,"['1995-96', '1996-97']",2,39.7343697,-90.228782,IL,United States,True,True,False,True
Kiwane Garris,"Chicago, Ill.",Westinghouse,,G,"['1993-94', '1994-95', '1995-96', '1996-97']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Udoiwod Udoiwod,,,,,['1996-97'],1,,,,,False,True,False,False
Awvee Storey,"Chicago, Ill.",Proviso West,,G/F,['1997-98'],1,41.8755616,-87.6244212,IL,United States,True,True,False,True
Brian Johnson,"Des Plaines, Ill.",Maine West,,F,"['1993-94', '1994-95', '1995-96', '1996-97', '1997-98']",5,42.0415823,-87.8873916,IL,United States,True,True,False,True
David Freeman,"Champaign, Ill.",Central,,G,"['1996-97', '1997-98']",2,40.1164841,-88.2430932,IL,United States,True,True,False,True
Jarrod Gee,"Chicago, Ill.",St. Martin de Porres,,F,"['1994-95', '1995-96', '1996-97', '1997-98']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Jeff Reichardt,"Schaumburg, Ill.",Schaumburg,,G,"['1996-97', '1997-98']",2,42.0333608,-88.083406,IL,United States,True,True,False,True
Jelani Boline,"Chicago, Ill.",Whitney Young,,G,"['1996-97', '1997-98']",2,41.8755616,-87.6244212,IL,United States,True,True,False,True
Jerry Hester,"Peoria, Ill.",Manual,,F,"['1993-94', '1994-95', '1995-96', '1996-97', '1997-98']",5,40.6938609,-89.5891008,IL,United States,True,True,False,True
Kevin Turner,"Chicago, Ill.",Simeon,,G,"['1994-95', '1995-96', '1996-97', '1997-98']",4,41.8755616,-87.6244212,IL,United States,True,True,False,True
Luke Williams,"Mattoon, Ill.",Shiloh,,G,['1997-98'],1,39.4842821,-88.3773279,IL,United States,True,True,False,True
Matt Heldman,"Libertyville, Ill.",Libertyville,,G,"['1994-95', '1995-96', '1996-97', '1997-98']",4,42.2830786,-87.9531303,IL,United States,True,True,False,True
Arias Davis,"Waycross, Ga.",Ware County,,G,"['1997-98', '1998-99']",2,31.2135511,-82.3540178,GA,United States,False,True,False,True
Carvell Ammons,"Champaign, Ill.",Centennial,,F,"['1997-98', '1998-99']",2,40.1164841,-88.2430932,IL,United States,True,True,False,True
Dave Wilkinson,,,,,['1998-99'],1,,,,,False,True,False,False
Fess Hawkins,"Pine Bluff, Ark.",Dollarway,,C,"['1996-97', '1998-99']",2,34.2228884,-92.004334,AR,United States,False,True,False,True
Rich Beyers,"Shelbyville, Ill.",Shelbyville,,F,"['1997-98', '1998-99']",2,39.4064284,-88.7900689,IL,United States,True,True,False,True
Cleotis Brown,"Pittsview, Ala.",Russell County,,F,"['1998-99', '1999-00']",2,32.188207,-85.1632685,AL,United States,False,True,False,True
Gareth Breunlin,"La Grange, Ill.",Lyons Township,,G,['1999-00'],1,41.81483,-87.8735662,IL,United States,True,True,False,True
Victor Chukwudebe,"Springfield, Ill.",Lanphier,,F,"['1996-97', '1997-98', '1998-99', '1999-00']",4,39.7990175,-89.6439575,IL,United States,True,True,False,True
